"url, title, page_address, status, meter, total, finish_date"
"陸前高田発のアニメを絵本化！「ありがとうをチカラに」出版プロジェクト！,/projects/rikuzentakata,プロジェクトが成立しました！,109%,549000,9月10日"
"縁がわアートin南三陸でスサイタカコ企画を実現しよう,/projects/Engawart,プロジェクトが成立しました！,111%,334000,9月9日"
"子どもたちを晴れ舞台に！フィリピン・セブで音楽祭を開きたい,/projects/cebfes,プロジェクトが成立しました！,116%,140000,9月8日"
"被災地の中高校生の声を世界へ！ユースラジオ in　石巻・南三陸,/projects/UKJPYouthRadio,プロジェクトが成立しました！,100%,200000,9月7日"
"舞台から伝える～ミャンマーの障がい者の想い～,/projects/stage-afda-in-myanmer,プロジェクトが成立しました！,113%,341000,9月7日"
"コンゴで持続可能なWSを展開！学生11名を現地へ派遣します。,/projects/acadexproject,プロジェクトが成立しました！,102%,1024000,9月6日"
"元、ガングロギャル。今、アフリカでボランティア奮闘中。そんなプラ子ちゃんを応援！,/projects/purako,プロジェクトが成立しました！,178%,1425000,9月4日"
"「先輩！私を東北に連れてって」　47都道府県から学生が集結！,/projects/kikkakebus,プロジェクトが成立しました！,107%,5030000,9月2日"
"東日本大震災により失われた【陸前高田うごく七夕まつり】森前組の山車を復活させる！,/projects/morimae,プロジェクトが成立しました！,100%,503000,9月1日"
"がん征圧チャリティ　「リレー・フォー・ライフ・ジャパン東京上野」を成功させたい！,/projects/rfltokyoueno,プロジェクトが成立しました！,102%,1020000,9月1日"
"図書館の無いネパールのポカラに、子どもたちのための 図書館をつくろう！！,/projects/tsubomigakko,プロジェクトが成立しました！,102%,307000,9月1日"
"世界遺産二条城　修復応援プロジェクト〜煌めく唐門（からもん）の完成へ！〜,/projects/nijojo,プロジェクトが成立しました！,108%,217000,8月31日"
"ソロモンの熱帯雨林を守る養蜂を応援！4箱の巣箱を100箱に！,/projects/solomon_honey,プロジェクトが成立しました！,121%,365000,8月31日"
"福島の子供達の思い出作り。第２回「福島シネマプロジェクト」開催！！,/projects/f-c-p,プロジェクトが成立しました！,107%,2145000,8月30日"
"東日本大震災で被災した小学校の子どもたちに、本物の演劇を！,/projects/project-yui-0509,プロジェクトが成立しました！,124%,744000,8月30日"
"不登校・高校中退の救済！迅速に教育相談ができる環境をつくりたい！,/projects/KOSOTSU,プロジェクトが成立しました！,100%,301000,8月30日"
"未来を創るリーダー育成ワークショップAoSIに参加者を送ろう,/projects/AoSI2013,プロジェクトが成立しました！,109%,2180000,8月29日"
"滋賀の大学生が南三陸町の小さな漁村「田の浦」を支援する震災復興支援プロジェクト,/projects/tanourateam,プロジェクトが成立しました！,100%,501000,8月25日"
"〜絆ぐるぐるPJ第２弾〜 イラク戦争を生き抜いた少女達が来日コンサート！,/projects/guruguru2,プロジェクトが成立しました！,112%,336000,8月24日"
"世界初！小さな図書館のためのサミットを開催します！！,/projects/microlibrary,プロジェクトが成立しました！,130%,652000,8月24日"
"サッカー選手を目指す福島の子どもたちを日本代表戦へ招待したい,/projects/754,プロジェクトが成立しました！,123%,246000,8月24日"
