"title, page_address, curated_page, category, owner, rest, patron, meter, total"
"Retty×東京カレンダー「男性が女性を連れて行くと喜ばれるレストラン本」を出版したい！,http://greenfunding.jp/tokyo-calendar/projects/369,東京カレンダー,出版,Retty,終了,72,113,565400"
"2013年、ビーチサッカーを盛り上げるクリエイティブムービーを作ろう！,https://cf.sportie.jp/sportie/projects/380,Sports IT Solution,スポーツ,東日本ビーチサッカーリーグ実行委員会　櫻井大輔,終了,58,112,336000"
"夜の原宿を駆け抜けるRunnin’ Night Out,http://greenfunding.jp/nylonjapan/projects/321,NYLON JAPAN,スポーツ,gloryapparel,終了,41,207,207200"
"［原発ゼロノミクス］原発ゼロで経済活性化！10万人から賛同を集めるプロジェクト。,http://greenfunding.jp/sustena/projects/374,sustena,社会貢献,原発ゼロノミクス,終了,92,106,422000"
"日本屈指の才能！2013年が勝負の年！,http://greenfunding.jp/allez-japan/projects/372,ALLEZ! japan,スポーツ,大西勝太,終了,13,100,60000"
"RUNNING on the Street（日本初！ストリートランの祭典）,http://greenfunding.jp/timeouttokyo/projects/367,タイムアウト東京,スポーツ,Midnight Runners Tokyo,終了,48,121,241500"
"MONDAY ESPRESSO BAR,http://greenfunding.jp/timeouttokyo/projects/366,タイムアウト東京,イベント,MORNING PARTY,終了,48,105,104500"
"タブーのない朝がきた。 本当に知りたい情報が詰まった『発禁新聞』創刊！,http://greenfunding.jp/sustena/projects/352,sustena,出版,発禁新聞,終了,45,127,190500"
"本場イタリアへ！ 世界選手権 そして 武者修行,http://greenfunding.jp/allez-japan/projects/353,ALLEZ! japan,スポーツ,井関慶太,終了,28,115,115000"
"石巻復興ミサンガ『絆』を全国のフットボーラーに広めたい！,https://cf.sportie.jp/sportie/projects/347,Sports IT Solution,スポーツ,RARA Plus,終了,48,105,524000"
"”SIP1-高熱伝導性SPOON” 宇宙ロケット素材のアイスクリームスプーン,http://greenfunding.jp/tokyo-calendar/projects/362,東京カレンダー,プロダクト,CSイノベーション"
"第3回カバディワールドカップに参戦！,http://greenfunding.jp/allez-japan/projects/338,ALLEZ! japan,スポーツ,カバディ日本代表チーム,終了,23,104,104000"
"［日本テキーラ協会公認］日本未輸入テキーラ20種をメキシコで買い付けたい！,http://greenfunding.jp/tokyo-calendar/projects/361,東京カレンダー,フード,SHoT3(ショットスリー）,終了,95,118,946000"
"食卓を鮮やかに彩る美しいフラミンゴが潜むワイングラス,http://greenfunding.jp/tokyo-calendar/projects/332,東京カレンダー,プロダクト,海山俊亮"
"東北を笑顔に！スマイルフットサル復興支援 in 郡山 開催！！,https://cf.sportie.jp/sportie/projects/325,Sports IT Solution,スポーツ,スマイルフットサル,終了,36,179,179000"
"SHY FLOWER PROJECT - 助けてと叫ぶ事のできないすべての花のために。,http://greenfunding.jp/greengirl/projects/287,GREEN GIRL,ファッション,SHY FLOWER PROJECT,終了,65,160,240500"
"Enjoy Beach！ ビーチ相撲　オリジナル\"MAWASHI\" 開発プロジェクト,https://cf.sportie.jp/sportie/projects/282,Sports IT Solution,プロダクト,ビーチ相撲協会 吉田守博,終了,36,112,336000"
"Go to GOTO with Goat〜ぴたらファームの仔ヤギを五島列島へ！,http://greenfunding.jp/sustena/projects/351,sustena,その他,ぴたらファーム ヤギ男,終了,20,118,94000"
"XTERRAサイパン＆グアムに挑戦！,http://greenfunding.jp/allez-japan/projects/339,ALLEZ! japan,スポーツ,宮崎康子"
"iPhoneで日常を映画のワンシーンのように撮る！,http://greenfunding.jp/nylonjapan/projects/333,NYLON JAPAN,アート,hiroyuki seo,終了,15,113,90000"
"シーズンの流れを決める開幕戦で勝つ！,http://greenfunding.jp/allez-japan/projects/329,ALLEZ! japan,スポーツ,大西勝太"
"若干13才の大器！2013年の飛躍のために,http://greenfunding.jp/allez-japan/projects/328,ALLEZ! japan,スポーツ,竹内真之介,終了,10,100,50000"
"ビーチテニス世界選手権へ！！,http://greenfunding.jp/allez-japan/projects/327,ALLEZ! japan,スポーツ,山本直晃,終了,15,103,103000"
"クリエーターと創るウエディングアイテム相談会,http://greenfunding.jp/greengirl/projects/323,GREEN GIRL,イベント,ホシノイロ 川田美希"
"「ファッション×売春」で考える＜オンナの価値＞〜『E magazine』第1号刊行！,http://greenfunding.jp/greengirl/projects/320,GREEN GIRL,ファッション,Ethical Fashion Japan,終了,110,151,301200"
"4年後を見据えてラン強化！の沖縄合宿,http://greenfunding.jp/allez-japan/projects/315,ALLEZ! japan,スポーツ,崎本智子,終了,27,110,148000"
"世界に挑戦！ 強化合宿 in スペイン,http://greenfunding.jp/allez-japan/projects/314,ALLEZ! japan,スポーツ,宇田川修人"
"世界レベルに近づく台湾合宿！  【遠征費】,http://greenfunding.jp/allez-japan/projects/313,ALLEZ! japan,スポーツ,戸取大樹(ローラースケート/スピード競技),終了,32,240,168000"
"恋のマジカルクッキーWORKSHOP（秘薬入り）,http://greenfunding.jp/nylonjapan/projects/311,NYLON JAPAN,フード,おかしい屋,終了,44,131,105000"
"FLYING EBISU SANTA - 空飛ぶ恵比寿サンタ,http://greenfunding.jp/timeouttokyo/projects/309,タイムアウト東京,イベント,EBISU301,終了,16,103,31000"
"日本の元気を沸かしていく！『Cheer! NIPPON』ドキュメンタリー映像を制作,https://cf.sportie.jp/sportie/projects/268,Sports IT Solution,映像・映画,Cheer NIPPON！実行委員会"
"ライフスタイルマガジン『箱庭』の電子書籍化プロジェクト！,http://greenfunding.jp/greengirl/projects/267,GREEN GIRL,出版,haconiwa / 箱庭,終了,55,101,404000"
"カジュアルに楽しめるボディジュエリーで、一歩先のファッション。,http://greenfunding.jp/greengirl/projects/265,GREEN GIRL,ファッション,寺田沙織,終了,9,111,55500"
"フィットネス動画サイト『SHAPE UP PARTY』でエクササイズをもっと楽しく!,http://greenfunding.jp/greengirl/projects/248,GREEN GIRL,スポーツ,Kana Nagayama"
"東京緑茶化計画 〜 東京タワーの上でお茶会を。,http://greenfunding.jp/greengirl/projects/243,GREEN GIRL,フード,茂木雅世,終了,25,125,124500"
"温泉の楽しみかたを伝える。「ONSEN SNACK湯女子」を開催したい！,http://greenfunding.jp/greengirl/projects/241,GREEN GIRL,イベント,湯女子大学,終了,33,109,164000"
"モードなエシカルファッション誌『E Magazine』創刊,http://greenfunding.jp/greengirl/projects/240,GREEN GIRL,ファッション,Ethical Fashion Japan,終了,88,125,251000"
"iromono market×GREEN GIRL クリエイターズフリーマーケット,http://greenfunding.jp/greengirl/projects/235,GREEN GIRL,イベント,堀江史郎,終了,34,105,105000"
